DRUGBANK_ID,SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA
DB06697,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,298.375,1,4,5,0,3.02,46.15
DB06700,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1,263.375,4,2,3,2,2.6,43.7
DB06701,[H][C@@](C(=O)OC)(C1=CC=CC=C1)[C@@]1([H])CCCCN1,233.306,4,2,2,1,1.47,38.33
DB06704,NC(N)=NCC1=CC(I)=CC=C1,275.09,2,1,3,2,1.53,64.4
DB06707,C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1,183.204,2,1,4,4,-0.77,86.71
DB06710,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,302.451,0,4,2,1,3.61,37.3
DB06711,C(C1=NCCN1)C1=CC=CC2=CC=CC=C12,210.274,2,3,2,1,3.44,24.39
DB06712,COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N,385.371,7,2,6,1,2.97,134.24
DB06713,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(C=C3CC[C@@]21[H])=NO,327.468,1,4,3,2,3.18,52.82
DB06716,CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O,288.277,6,1,4,2,2.23,75.99
DB06718,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC3=NNC=C3C[C@]12C,328.492,0,5,2,2,4.33,48.91
DB06725,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=C(Cl)S2)S1(=O)=O,371.81,2,3,5,2,3.08,99.6
DB06729,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1,314.362,3,3,4,2,1.59,90.01
