SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT
CCC(C)OC1C=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,312.42,7,1,8,6,-0.049,137.53,Active
CCC(CC)OC1C=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,326.45,8,1,8,6,0.475,137.53,Active
CCC(CC)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,312.47,8,1,7,6,0.907,128.3,Active
CCC(CC=C)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,296.41,7,1,6,4,0.511,101.65,Active
CCCCCCCC(CC)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,354.55,11,1,6,4,2.727,101.65,Active
CCC(CCC1CCCCC1)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,366.56,8,2,6,4,2.607,101.65,Active
CCCOC1C=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,298.39,7,1,8,6,-0.426,137.53,Active
CCCN(CCC1=CC(=CC=C1)C1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,465.6,9,3,8,4,1.863,121.96,Active
CCC(CC)OC1C(NC(C)=O)C(N)CC(C(O)=O)=C1F,302.39,6,1,7,4,0.356,101.65,Active
CCCCOC1C=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,312.42,8,1,8,6,0.03,137.53,Active
CCCN(CCC1=CC(O)=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,405.5,8,2,9,5,0.077,142.19,Active
CCCOC1C=C(CC(NC(N)=NC)C1NC(C)=O)C(O)=O,312.42,7,1,8,5,-0.22,126.04,Active
CCCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(NC(N)=N)C1NC(C)=O)C(O)=O,431.55,10,2,10,6,0.374,157.84,Active
CCCN(CCC1=CC(OC)=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,419.53,9,2,9,4,0.328,131.19,Active
CCCN(CCC1=C(Cl)C=C(Cl)C=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,458.38,8,2,8,4,1.673,121.96,Active
CCC(CC)N(C)C1C=C(CC(N)C1NC(C)=O)C(O)=O,297.45,6,1,6,4,0.715,95.66,Active
CC1CCC(C)N1C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,325.41,3,2,8,4,-1.217,121.96,Active
CCCCCCCCCN(CCC)C(=O)C1OC(=CC(NC(N)=N)C1NC(C)=O)C(O)=O,453.66,15,1,10,6,2.079,157.84,Active
CC(=O)NC1C(N)CC(=CC1N1CCCCCC1CO)C(O)=O,325.46,4,2,7,5,-0.196,115.89,Active
CCCN(CCC1=CC=C(OC)C=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,419.53,9,2,9,4,0.328,131.19,Active
CC(C)N(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,389.5,7,2,8,4,0.198,121.96,Active
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCN=[N+]=[N-])CCC1=CC=CC=C1)C(O)=O,416.49,9,2,10,4,-1.63,170.72,Active
CCC(C)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,270.37,5,1,6,4,-0.078,101.65,Active
CCCN(CCC1=C(OC)C=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,419.53,9,2,9,4,0.328,131.19,Active
CCCN(CCC1=CC=C(O)C=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,405.5,8,2,9,5,0.077,142.19,Active
CCCN(CCC)C1C=C(CC(N)C1NC(C)=O)C(O)=O,297.45,7,1,6,4,0.687,95.66,Active
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCO)CCC1=CC=CC=C1)C(O)=O,391.47,8,2,9,5,-1.067,142.19,Active
CCCN(CCC1=CC=C(C=C1)C(C)C)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,431.59,9,2,8,4,1.539,121.96,Active
CCN(CC)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,341.47,8,1,9,6,-1.021,148.61,Active
CCC(CC1CCCCC1)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,352.53,7,2,6,4,2.151,101.65,Active
CCCN(CCCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,403.53,9,2,8,4,0.801,121.96,Active
CC(=O)NC1C(N)CC(=CC1N1CCCCC1)C(O)=O,281.4,3,2,6,4,-0.141,95.66,Active
CC(=O)NC1C(N)CC(=CC1N1CCCCCCC1)C(O)=O,309.46,3,2,6,4,0.771,95.66,Active
CCC(CCO)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,300.4,7,1,7,5,-0.904,121.88,Active
[H]C12CCC([H])(CCC1)N2C1C=C(CC(N)C1NC(C)=O)C(O)=O,307.44,3,3,6,4,0.377,95.66,Active
CC(=O)NC1C(N)CC(=CC1N1CCCCCC1)C(O)=O,295.43,3,2,6,4,0.315,95.66,Active
CC(=O)NC1C(N)C=C(OC1C(=O)N(CC=C)CC=C)C(O)=O,323.39,7,1,8,4,-1.199,121.96,Active
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCOCC1,355.45,6,2,10,6,-2.031,157.84,Active
